"term_id","pval","beta","se","log_p","adj_p"
"BIOCARTA_GRANULOCYTES_PATHWAY",0.00136574659336677,0.244560167757625,0.0739876946571436,2.86462987408913,0.00378112707754355
"BIOCARTA_LYM_PATHWAY",0.328584725692406,0.056662053923423,0.0576804911198484,0.483352628672355,0.410968186669012
"BIOCARTA_BLYMPHOCYTE_PATHWAY",0.850829278765796,-0.0128524888677148,0.0681448241995651,0.0701575735558217,0.879677835973232
"BIOCARTA_CARM_ER_PATHWAY",0.00653225352080907,0.135573722410404,0.048679597398244,2.18493696837018,0.0145347675976893
"BIOCARTA_LAIR_PATHWAY",0.922092034220755,0.00648600705982289,0.0661329303919327,0.035225729749572,0.938565704789814
"BIOCARTA_VDR_PATHWAY",2.53365380243667e-07,0.332642533792401,0.0596050464590654,6.59625272724379,3.68144998810429e-06
"BIOCARTA_MTA3_PATHWAY",0.563172578855787,-0.0299217811853368,0.0515629914219585,0.249358499358733,0.634320741630785
"BIOCARTA_NUCLEARRS_PATHWAY",0.728620542837696,-0.0148528087354124,0.0426744364703373,0.137498588357233,0.777841950317363
"BIOCARTA_TEL_PATHWAY",0.188216691531096,0.0801820500344125,0.0604707813064948,0.72534186487046,0.25725324315961
"BIOCARTA_PDZS_PATHWAY",0.00548177841706864,-0.201147363242034,0.0706493006716199,2.26107852337319,0.0124795481313918
"BIOCARTA_RACC_PATHWAY",0.846948608747597,-0.0122766447479738,0.0634213427498043,0.0721429410440968,0.876502742800453
"BIOCARTA_EICOSANOID_PATHWAY",0.296183857262429,0.0591612506120026,0.0563005469229507,0.52843861527091,0.376755611617602
"BIOCARTA_CHREBP_PATHWAY",0.142147700604789,0.0815042352885713,0.0550371599379782,0.84726016110705,0.203807795900244
"BIOCARTA_LIS1_PATHWAY",0.144688200717662,0.0939000685153212,0.0638155616006078,0.839566884030577,0.2066292576212
"BIOCARTA_HSWI_SNF_PATHWAY",0.000343329652305375,0.218490482358921,0.0586793023861639,3.46428868630197,0.00116688963460147
"BIOCARTA_PCAF_PATHWAY",0.022209575252926,0.153702162901555,0.0660541295021048,1.65345974703794,0.0418847825980703
"BIOCARTA_EFP_PATHWAY",3.35067647873667e-05,0.283981594088096,0.0649953465902317,4.47486750301591,0.000174800351240118
"BIOCARTA_ERAD_PATHWAY",0.331392787257549,0.0677221243131239,0.0693439542654835,0.479656948204957,0.413897138808818
"BIOCARTA_MHC_PATHWAY",0.0223852080972088,0.243691202854384,0.104837670560367,1.65003886397656,0.0421059735277647
"BIOCARTA_PRC2_PATHWAY",0.0100146380123826,-0.191644672983747,0.0728221130940644,1.99936474403051,0.0211116760436302
"BIOCARTA_SM_PATHWAY",0.0907113974612545,-0.185524117229778,0.108611270356284,1.04233814244868,0.138510875666034
"BIOCARTA_RANBP2_PATHWAY",0.00152093400810854,0.218799680710194,0.0671056341637064,2.81788962916598,0.00412117913336044
