"term_id","pval","beta","se","log_p","adj_p"
"BIOCARTA_GRANULOCYTES_PATHWAY",0.951688219639717,0.0415928528873591,0.113620658430967,0.0215053065182459,0.978534149671867
"BIOCARTA_LYM_PATHWAY",0.211491454151325,-0.193458160204376,0.0952886710212228,0.674707176704572,0.491715009741942
"BIOCARTA_BLYMPHOCYTE_PATHWAY",0.00990341403119449,-0.220454092620486,0.103649279428515,2.00421506405773,0.0814239341587307
"BIOCARTA_CARM_ER_PATHWAY",0.00882104048929183,-0.0426452718207853,0.0681857186370389,2.05448018447066,0.076649326408852
"BIOCARTA_LAIR_PATHWAY",0.14762888141429,-0.22342362419233,0.103433758104082,0.83082867088801,0.403076608805307
"BIOCARTA_VDR_PATHWAY",0.0139866262666673,-0.0320800287674453,0.0939195953536307,1.85428702964443,0.0967596726995343
"BIOCARTA_MTA3_PATHWAY",0.0879051427017747,0.0712236138808822,0.0732639274413664,1.0559857167161,0.298081173045754
"BIOCARTA_NUCLEARRS_PATHWAY",0.0430317595715798,-0.103461523486567,0.0677931404506682,1.36621089522342,0.198160378153651
"BIOCARTA_TEL_PATHWAY",0.435956113367757,-0.111310190314118,0.0929582292933367,0.360557227890882,0.699349798386219
"BIOCARTA_PDZS_PATHWAY",0.574507248971867,-0.0484917835571442,0.106277073889967,0.240704487134756,0.775623346571222
"BIOCARTA_RACC_PATHWAY",0.237549615946209,-0.132336724778217,0.0994626407482792,0.624245667381492,0.522131668416442
"BIOCARTA_EICOSANOID_PATHWAY",0.492383860353151,0.0352611369850294,0.0911607218876914,0.307696191066561,0.737023907319788
"BIOCARTA_CHREBP_PATHWAY",0.760368909720665,0.073423664467835,0.0783054436052909,0.118975649056459,0.876597974075066
"BIOCARTA_LIS1_PATHWAY",0.367380417816282,0.153130017276346,0.0937522416985108,0.434883996263691,0.640684034682964
"BIOCARTA_HSWI_SNF_PATHWAY",0.0370994213366581,-0.0195285355564632,0.0951225106642025,1.43063286430022,0.180704753815749
"BIOCARTA_PCAF_PATHWAY",0.892146852151755,-0.0467396903074555,0.0982497572349066,0.0495636525410853,0.942572543795115
"BIOCARTA_AMAN_PATHWAY",0.782925602535717,0.0247515552477303,0.0918735644178075,0.106279504791743,0.889022997271866
"BIOCARTA_EFP_PATHWAY",0.227740954431539,0.0992631398858278,0.0871849444189807,0.64255886361285,0.511364956203055
"BIOCARTA_ERAD_PATHWAY",0.540702200281695,0.129275361145921,0.103807216893205,0.267041863144452,0.758472727748657
"BIOCARTA_MHC_PATHWAY",0.770905653463863,-0.0804420424770514,0.152710452227448,0.112998769403286,0.883697938897633
"BIOCARTA_PRC2_PATHWAY",0.0203993189100781,-0.310640808550082,0.112762739140114,1.69038433250217,0.122228247825591
"BIOCARTA_SM_PATHWAY",0.156685307121705,-0.0576507026967478,0.14357893102042,0.804971726793327,0.413853582941026
"BIOCARTA_RANBP2_PATHWAY",0.41834104568009,0.00128093422090452,0.0873232963914309,0.378469522371695,0.681752508869118
"BIOCARTA_HES_PATHWAY",0.726382688169111,-0.0806400791119923,0.106399544924969,0.138834514875489,0.85870212920316
"KEGG_N_GLYCAN_BIOSYNTHESIS",0.59295280550378,0.122749862947084,0.0928019305100418,0.226979871770539,0.787841911079445
"KEGG_OTHER_GLYCAN_DEGRADATION",0.703629797382062,0.043780695787858,0.133550418673168,0.15265577728082,0.842882078084423
"KEGG_O_GLYCAN_BIOSYNTHESIS",0.646819278965219,0.0783663472413396,0.0663953526373922,0.189217044078822,0.812839048116005
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION",0.258724682981584,0.100168328564394,0.0964459252275535,0.587162136527599,0.542607459600579
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE",0.521413173516808,0.138759687271649,0.102652886409892,0.282818000568182,0.750792850050547
"KEGG_GLYCEROLIPID_METABOLISM",0.00909189037986451,0.137699575606183,0.0502136389614254,2.04134580916648,0.077002281610721
"KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS",0.0158164447342118,-0.0421142486460201,0.0683565367659564,1.80089113182674,0.103255416817078
"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM",0.00607110412206271,0.127036649895612,0.0492706899627421,2.21673231872489,0.0623357028870946
"KEGG_ETHER_LIPID_METABOLISM",0.134317032071195,0.102563662335036,0.0569018229650044,0.871868913127775,0.380506928937439
"KEGG_ARACHIDONIC_ACID_METABOLISM",0.0103590313740808,0.0789161890103631,0.0555898919075977,1.98468085159451,0.0837237252051569
"KEGG_SPHINGOLIPID_METABOLISM",0.515935318299602,0.0759836973182639,0.0683998233554758,0.287404741524605,0.749710882925561
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES",0.211051514395315,-0.0122226321756665,0.0644971174068689,0.675611527228269,0.491554485604424
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES",0.219672148693234,0.152274420399343,0.0962220807583907,0.658225001957911,0.500925598934506
"KEGG_RIBOFLAVIN_METABOLISM",0.413093717682535,-0.0824092576706924,0.0682968367973345,0.383951409711274,0.680810821832483
"KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM",0.000880183783453405,0.101616698226258,0.0599827797511646,3.05542663716092,0.0219681664852528
"KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS",0.0740610313681139,0.150610510838603,0.0878956445544406,1.13041024429357,0.276238519363226
"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",0.73245406308098,-0.0684805295065671,0.0862412409596322,0.135219607528166,0.861878128449781
"KEGG_BASAL_TRANSCRIPTION_FACTORS",0.270684770168363,-0.0682384807863581,0.0497425469596314,0.567536178724909,0.551198875566302
"KEGG_NON_HOMOLOGOUS_END_JOINING",0.352344239451653,-0.0601518209564729,0.096749025994952,0.453032824478365,0.626278223432887
"KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT",0.198738100529142,0.0275527655620381,0.0718048841340804,0.701718865334344,0.47401777551916
"KEGG_LYSOSOME",0.324945060479998,0.100710510448527,0.0988637236764376,0.488190060397433,0.604812635974259
"KEGG_CARDIAC_MUSCLE_CONTRACTION",0.183637311940212,0.144457134571972,0.109612270909119,0.736039073007287,0.461626208291084
"KEGG_RENIN_ANGIOTENSIN_SYSTEM",0.0702903279458709,0.139875744797215,0.0772938095334064,1.15310443043853,0.265744969221055
